track_id,type,traveled_d,avg_speed
746, Taxi, 286.99, 9.062990
747, Motorcycle, 34.42, 8.979222
748, Motorcycle, 233.90, 27.517151
749, Car, 488.30, 31.730687
750, Taxi, 233.68, 23.630546
751, Taxi, 235.37, 25.833162
752, Motorcycle, 481.87, 38.378908
753, Motorcycle, 480.25, 42.168530
754, Motorcycle, 362.18, 15.862091
755, Medium Vehicle, 481.45, 34.944092
756, Car, 102.85, 22.856662
757, Taxi, 480.83, 32.783820
758, Taxi, 267.46, 15.235178
759, Motorcycle, 34.40, 12.383798
760, Taxi, 234.59, 27.067650
761, Taxi, 51.45, 16.245932
762, Taxi, 234.77, 25.457262
763, Car, 480.12, 36.931980
764, Medium Vehicle, 267.19, 15.316538
765, Taxi, 460.93, 38.770136
766, Car, 355.95, 15.291465
767, Car, 478.56, 22.201037
768, Car, 349.27, 14.723394
769, Car, 50.57, 18.962027
770, Bus, 482.18, 36.776650
771, Motorcycle, 344.44, 16.893541
772, Car, 350.31, 15.157687
773, Car, 52.60, 18.936616
774, Taxi, 462.80, 21.305461
775, Motorcycle, 18.22, 2.359903
776, Car, 348.11, 15.062348
777, Motorcycle, 346.76, 17.833336
778, Motorcycle, 345.28, 18.333488
779, Car, 459.71, 22.304005
780, Car, 361.31, 15.124804
